127.0.0.1 - - [09/May/2023:11:59:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/May/2023:12:01:32 +0900] "GET /egov_web/egovSampleList.do HTTP/1.1" 200 11552
0:0:0:0:0:0:0:1 - - [09/May/2023:12:01:32 +0900] "GET /egov_web/images/egovframework/example/title_dot.gif;jsessionid=7329DCD2742B77497CC1B4ED9F7F159B HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [09/May/2023:12:01:32 +0900] "GET /egov_web/css/egovframework/sample.css;jsessionid=7329DCD2742B77497CC1B4ED9F7F159B HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [09/May/2023:12:01:32 +0900] "GET /egov_web/images/egovframework/example/btn_bg_r.gif;jsessionid=7329DCD2742B77497CC1B4ED9F7F159B HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [09/May/2023:12:01:32 +0900] "GET /egov_web/images/egovframework/cmmn/btn_page_pre1.gif HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [09/May/2023:12:01:32 +0900] "GET /egov_web/images/egovframework/cmmn/btn_page_pre10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [09/May/2023:12:01:32 +0900] "GET /egov_web/images/egovframework/cmmn/btn_page_next1.gif HTTP/1.1" 200 100
0:0:0:0:0:0:0:1 - - [09/May/2023:12:01:32 +0900] "GET /egov_web/images/egovframework/cmmn/btn_page_next10.gif HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [09/May/2023:12:01:32 +0900] "GET /egov_web/images/egovframework/example/btn_bg_l.gif HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [09/May/2023:12:01:32 +0900] "GET /egov_web/images/egovframework/example/th_bg.gif HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [09/May/2023:12:17:09 +0900] "GET /egov_web/egovSampleList.do HTTP/1.1" 200 11156
0:0:0:0:0:0:0:1 - - [09/May/2023:12:17:09 +0900] "GET /egov_web/css/egovframework/sample.css HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [09/May/2023:12:17:09 +0900] "GET /egov_web/images/egovframework/example/title_dot.gif HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [09/May/2023:12:17:09 +0900] "GET /egov_web/images/egovframework/example/btn_bg_r.gif HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [09/May/2023:12:17:09 +0900] "GET /egov_web/images/egovframework/cmmn/btn_page_pre10.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/May/2023:12:17:09 +0900] "GET /egov_web/images/egovframework/cmmn/btn_page_pre1.gif HTTP/1.1" 304 -
